Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage origin Port,Leg Start Port/anch,In Transit Port Calls,FIELD9,Timestamp
BSP XX,DEPARTURE,Port,SEMARANG,1639145940,,,Not in Transit,Cargo,10/12/2021 21.19
LAWIT,ARRIVAL,Port,SEMARANG,1639127100,KUMAI,KUMAI,Not in Transit,Passenger,10/12/2021 16.05
DHARMA KARTIKA VII,ARRIVAL,Port,SEMARANG,1639122180,PONTIANAK,PONTIANAK,Not in Transit,Cargo,10/12/2021 14.43
KN.KARIMUNJAWA,ARRIVAL,Port,SEMARANG,44540.12431,JEPARA,JEPARA,Not in Transit,Law Enforce,10/12/2021 09.59
MERATUS TOMINI,ARRIVAL,Port,SEMARANG,44540.05764,JAKARTA,JAKARTA,Not in Transit,Cargo,10/12/2021 08.23
MUTIARA FERINDO 7,DEPARTURE,Port,SEMARANG,44540.03472,,,Not in Transit,Ro-Ro/Passenger,10/12/2021 07.50
TRADER,DEPARTURE,Port,SEMARANG,44540.03333,,,Not in Transit,Tanker,10/12/2021 07.48
MERATUS MALINO,ARRIVAL,Port,SEMARANG,44539.90903,MAKASSAR,SEMARANG ANCH,Not in Transit,Cargo,10/12/2021 04.49
MARINER,ARRIVAL,Port,SEMARANG,44539.82778,KALBUT,KALBUT,Not in Transit,Tanker,10/12/2021 02.52
INESSA,DEPARTURE,Port,SEMARANG,44539.65694,,,Not in Transit,Cargo,09/12/2021 22.46
PRIMA XP,DEPARTURE,Port,SEMARANG,44539.63958,,,Not in Transit,Tanker,09/12/2021 22.21
SEROJA II,ARRIVAL,Port,SEMARANG,44539.50625,CIREBON,CIREBON,Not in Transit,Tanker,09/12/2021 19.09
BERKAH PANDAN ARAN 1,DEPARTURE,Port,SEMARANG,44539.48125,,,Not in Transit,Tug,09/12/2021 18.33
TB INDO PACIFIC 02,DEPARTURE,Port,SEMARANG,44539.22917,,,Not in Transit,Tug,09/12/2021 12.30
MUTIARA FERINDO 7,ARRIVAL,Port,SEMARANG,44539.21667,PANJANG,PANJANG,Not in Transit,Ro-Ro/Passenger,09/12/2021 12.12
MERATUS BENOA,DEPARTURE,Port,SEMARANG,44539.2125,,,Not in Transit,Cargo,09/12/2021 12.06
GAS PATRA,DEPARTURE,Port,SEMARANG,44539.16597,,,Not in Transit,Tanker,09/12/2021 10.59
TRADER,ARRIVAL,Port,SEMARANG,44539.15764,SINGAPORE,SINGAPORE,Not in Transit,Tanker,09/12/2021 10.47
GAS PATRA,ARRIVAL,Port,SEMARANG,44539.08194,MERAK,SEMARANG ANCH,Not in Transit,Tanker,09/12/2021 08.58
INESSA,ARRIVAL,Port,SEMARANG,44539.01597,PORT KLANG,PORT KLANG,Not in Transit,Cargo,09/12/2021 07.23
DHARMA RUCITRA 9,DEPARTURE,Port,SEMARANG,44539.00903,,,Not in Transit,Cargo,09/12/2021 07.13
TRANSKO DARA 3203.,ARRIVAL,Port,SEMARANG,44538.97639,JAKARTA,,Not in Transit,Tug,09/12/2021 06.26
MERATUS BENOA,ARRIVAL,Port,SEMARANG,44538.79861,SURABAYA,SURABAYA,Not in Transit,Cargo,09/12/2021 02.10
GAS PATRICIA,DEPARTURE,Port,SEMARANG,44538.76806,,,Not in Transit,Tanker,09/12/2021 01.26
SOHO MERCHANT,ARRIVAL,Port,SEMARANG,44538.22708,BELAWAN,SEMARANG ANCH,Not in Transit,Cargo,08/12/2021 12.27
LAWIT,DEPARTURE,Port,SEMARANG,44538.20208,,,Not in Transit,Passenger,08/12/2021 11.51
DHARMA RUCITRA 9,ARRIVAL,Port,SEMARANG,44538.19444,KUMAI,KUMAI,Not in Transit,Cargo,08/12/2021 11.40
BIMA 315,ARRIVAL,Port,SEMARANG,44538.02847,SEMARANG,SEMARANG,Not in Transit,Tug,08/12/2021 07.41
PRIMA XP,ARRIVAL,Port,SEMARANG,44538.01181,JAKARTA,SEMARANG ANCH,Not in Transit,Tanker,08/12/2021 07.17
GANDAWATI 1,DEPARTURE,Port,SEMARANG,44538.01042,,,Not in Transit,Tanker,08/12/2021 07.15
BIMA 315,DEPARTURE,Port,SEMARANG,44538.00139,,,Not in Transit,Tug,08/12/2021 07.02
BINA BENUA 9,DEPARTURE,Port,SEMARANG,44537.90208,,,Not in Transit,Tug,08/12/2021 04.39
LAWIT,ARRIVAL,Port,SEMARANG,44537.77431,PONTIANAK,PONTIANAK,Not in Transit,Passenger,08/12/2021 01.35
IBRAHIM ZAHIER,ARRIVAL,Port,SEMARANG,44537.69861,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Cargo,07/12/2021 23.46
